migration_name,source_table,source_column,target_table,target_column
branches,ilts.c0_branch_info_table,branch_name,branches,name
branches,ilts.c0_branch_info_table,branch_code,branches,external_id
branches,ilts.c0_branch_info_table,branch_add,branches,address
branches,ilts.c0_branch_info_table,gov_code,branches,governorate_id
branches,ilts.c0_branch_info_table,dist_code,branches,district_id
branches,ilts.c0_branch_info_table,vill_code,branches,village_id
officers,ilts.c1_officer_info_table,officer_name,users,name
officers,ilts.c1_officer_info_table,officer_key,users,external_id
officers,ilts.c1_officer_info_table,branch_code,users,branch_id
officers,ilts.c1_officer_info_table,officer_gender,users,gender
officers,ilts.c1_officer_info_table,officer_emp_date,users,created_at
officers,ilts.c1_officer_info_table,employee_code,users,employee_id
clients,ilts.c1_client_info_table,client_key,clients,external_id
clients,ilts.c1_client_info_table,branch_code,clients,branch_id
clients,ilts.c1_client_info_table,org_branch_code,clients,old_branch_code
clients,ilts.c1_client_info_table,client_name,clients,name
clients,ilts.c1_client_info_table,intro_date,clients,created_at
clients,ilts.c1_client_info_table,intro_date,clients,approved_at
clients,ilts.c1_client_info_table,birth_date,clients,birthdate
clients,ilts.c1_client_info_table,home_add_1,clients,address
clients,ilts.c1_client_info_table,home_add_2,clients,address
clients,ilts.c1_client_info_table,home_add_3,clients,address
clients,ilts.c1_client_info_table,home_geography,clients,latitude
clients,ilts.c1_client_info_table,officer_key,clients,loan_officer_id
clients,ilts.c1_client_info_table,nation_id,clients,national_id
clients,ilts.c1_client_info_table,gov_code,clients,governorate_id
clients,ilts.c1_client_info_table,dist_code,clients,district_id
clients,ilts.c1_client_info_table,vill_code,clients,village_id
clients,ilts.c1_client_info_table,notes,clients,notes
clients,ilts.c1_client_info_table,client_status,clients,is_guarantor
clients,ilts.c1_client_info_table,gender,clients,gender
clients,ilts.c1_client_info_table,martial_status,clients,marital_status_id
clients,ilts.c1_client_info_table,edu_level_code,clients,qualification_id
loan_products,ilts.c1_loan_types,loan_type_code,loan_products,external_id
loan_products,ilts.c1_loan_types,loan_type_name,loan_products,name
loan_products,ilts.c1_loan_types,loan_type_name,loan_products,short_name
loan_products,ilts.c1_loan_types,loan_type_name,loan_products,description
loan_products,ilts.c1_loan_types,currency_code,loan_products,currency_id
loan_products,ilts.c1_loan_types,loan_int_rt,loan_products,flat_default_interest_rate
loan_products,ilts.c1_loan_types,loan_int_rt,loan_products,flat_minimum_interest_rate
loan_products,ilts.c1_loan_types,loan_int_rt,loan_products,flat_maximum_interest_rate
loan_products,ilts.c1_loan_types,quick_repay_rt,loan_products,early_repayment_interest_rate
loan_products,ilts.c1_loan_types,min_loan_am,loan_products,default_principal
loan_products,ilts.c1_loan_types,min_loan_am,loan_products,minimum_principal
loan_products,ilts.c1_loan_types,max_loan_am,loan_products,maximum_principal
loan_products,ilts.c1_loan_types,loan_inst,loan_products,default_loan_term
loan_products,ilts.c1_loan_types,min_no_inst,loan_products,minimum_loan_term
loan_products,ilts.c1_loan_types,max_no_inst,loan_products,maximum_loan_term
loan_products,ilts.c1_loan_types,calc_type,loan_products,loan_transaction_processing_strategy_id
loan_applications,ilts.c1_loan_application,client_key,loan_applications,client_id
loan_applications,ilts.c1_loan_application,application_key,loan_applications,external_id
loan_applications,ilts.c1_loan_application,branch_code,loan_applications,branch_id
loan_applications,ilts.c1_loan_application,org_branch_code,loan_applications,old_branch_code
loan_applications,ilts.c1_loan_application,req_am,loan_applications,amount
loan_applications,ilts.c1_loan_application,officer_key,loan_applications,loan_officer_id
loan_applications,ilts.c1_loan_application,application_status,loan_applications,status
loan_applications,ilts.c1_loan_application,entry_date,loan_applications,created_at
loan_applications,ilts.c1_loan_application,currency_code,loan_applications,currency_id
loan_applications,ilts.c1_loan_application,loan_type_code,loan_applications,loan_product_id
loan_applications,ilts.c1_loan_application,req_no,loan_applications,term
loans,ilts.c1_loan_info,client_key,loans,client_id
loans,ilts.c1_loan_info,loan_key,loans,external_id
loans,ilts.c1_loan_info,branch_code,loans,branch_id
loans,ilts.c1_loan_info,org_branch_code,loans,old_branch_code
